id,date,user,pc,activity
{I2H7-D5EI43FW-4448RUCH},01/02/2010 07:55:00,XOH0359,PC-4096,Logon
{Q4M7-S0KC07IO-3797TVUB},01/02/2010 07:55:12,SUV0051,PC-7165,Logoff
{D8R4-S7BY39YI-4787NHMX},01/02/2010 07:56:00,EPP0584,PC-4842,Logon
{J7L1-I1GA18UU-4125VCKU},01/02/2010 07:56:15,CSF0671,PC-7165,Logon
{L7U6-O2HS52QO-0162RBSU},01/02/2010 08:00:00,BAK0530,PC-6188,Logon
{S7Z8-T1MZ04FF-5865HVUL},01/02/2010 08:00:00,IHS0045,PC-3653,Logon
{W0K2-C5OY69OA-8149CCLB},01/02/2010 08:00:00,TGF0571,PC-2770,Logon
{C0F3-R6AW78FC-9091WEQQ},01/02/2010 08:02:00,ALM0073,PC-2913,Logon
{E1X7-U9SJ90FR-4068CUBO},01/02/2010 08:03:00,BRS0802,PC-7449,Logon
{H6X5-M7EO53TT-0406VMSX},01/02/2010 08:03:00,LMR0049,PC-3271,Logon
{V8B8-T8XI75BP-7161FYRH},01/02/2010 08:09:00,BGR0068,PC-8640,Logon
{A0V4-I4KS53AU-6941SPBC},01/02/2010 08:09:00,MQF0815,PC-9876,Logon
{Q5D0-P3FW75HA-0090LVCG},01/02/2010 08:10:00,RNA0266,PC-2695,Logon
{U9S1-T6NB07RT-9835UULG},01/02/2010 08:12:00,MTP0573,PC-8548,Logon
{O6B0-N5WU75HK-4094EYAT},01/02/2010 08:16:00,FEJ0567,PC-2930,Logon
{A9G4-E5UH22HW-9758ROLD},01/02/2010 08:16:00,KAK0992,PC-1037,Logon
{W3Z2-K9XW72FJ-8961WWTB},01/02/2010 08:17:00,KJP0844,PC-1188,Logon
{U4U5-B3VP89PL-8598RMWO},01/02/2010 08:18:00,RAS0839,PC-1633,Logon
{J3F1-R3UB99VZ-5062WQHT},01/02/2010 08:20:00,TDF0088,PC-1151,Logon
{T6J5-F0YP26YO-6486EWLH},01/02/2010 08:22:00,KRH0812,PC-3186,Logon
{G2Z0-S7TH07BH-3325XUOK},01/02/2010 08:22:00,RPH0848,PC-0130,Logon
{K5N8-P4YX30HI-5570AXYT},01/02/2010 08:27:00,KPB0549,PC-7199,Logon
{L6W0-X7XG78JS-6874HDCT},01/02/2010 08:30:00,ASR0889,PC-6390,Logon
{L7P4-R8QW56DG-2538VTSC},01/02/2010 08:30:00,TMW0915,PC-2925,Logon
{O6N4-H0PI29TE-2118ZSHW},01/02/2010 08:30:00,YAP0560,PC-2685,Logon
{L2K8-B5SL49LB-4664GAXL},01/02/2010 08:32:00,BLW0787,PC-5896,Logon
{Z9K7-G0CO23PL-5609OKAB},01/02/2010 08:32:00,MLO0553,PC-1386,Logon
{I4A9-A0PJ16OL-5781FUVW},01/02/2010 08:44:00,ABG0865,PC-0410,Logon
{E6U1-H3MP63GC-1137OOXK},01/02/2010 08:45:00,WMH0866,PC-9974,Logon
{S0U4-Z7QT15OL-0436AROJ},01/02/2010 08:46:00,KJC0931,PC-9490,Logon
{M9O8-T0QF24DN-6110DDUQ},01/02/2010 08:47:00,CAO0899,PC-0563,Logon
{L4J6-A2AW54XY-8856HRKM},01/02/2010 08:47:00,MQM0127,PC-3361,Logon
{W3I4-U8MV35DU-8396VKPE},01/02/2010 08:47:00,SAC0882,PC-8417,Logon
{Y2S2-J3XS37BP-3846GHKX},01/02/2010 08:48:00,ATV0292,PC-4773,Logon
{F6X4-C6CT43AF-9634JXRP},01/02/2010 08:50:00,AMT0293,PC-1410,Logon
{R5M1-T3QU49IB-4241TUSM},01/02/2010 08:50:00,SDH0288,PC-5156,Logon
{G4Q0-C6QZ14YX-7318SCGM},01/02/2010 08:50:13,CSF0671,PC-7165,Logoff
{J6Q4-T3BX39QZ-8654YCXI},01/02/2010 08:51:00,DAL0189,PC-6436,Logon
{V3Y9-Z7NF44CD-5914VGQY},01/02/2010 08:52:00,QRF0629,PC-7081,Logon
{V9E1-G1NS39TQ-5842YGJL},01/02/2010 08:55:00,LAG0639,PC-1575,Logon
{A8J3-H4KM17AH-3454EDNS},01/02/2010 09:00:00,MCL0139,PC-5645,Logon
{J1B8-N6EV57KA-3485AQWO},01/02/2010 09:02:00,MSC0284,PC-3814,Logon
{I4W2-N4GD95MA-4165MLQS},01/02/2010 09:03:00,FTT0044,PC-3732,Logon
{Q0W4-O6IG95QS-4478MVBJ},01/02/2010 09:04:00,MDS0121,PC-8374,Logon
{Y2N8-T1MO31GJ-3205AEQI},01/02/2010 09:05:00,YXG0504,PC-4312,Logon
{N4P7-G5WK22QU-0277USPW},01/02/2010 09:17:00,TST0116,PC-8948,Logon
{F2Z9-X4JP60DF-5519ROGG},01/02/2010 09:21:00,AYN0502,PC-9878,Logon
{F1E3-W2OT41IS-2589OYEP},01/02/2010 09:46:09,SUV0051,PC-4725,Logon
{E8J6-C2CJ61SO-6793OMLL},01/02/2010 09:47:21,IHS0045,PC-7165,Logon
{N9Q4-U1YK68WK-0221CEBV},01/02/2010 10:12:38,IHS0045,PC-7165,Logoff
{O5K7-I1LB29RE-2026RUFN},01/02/2010 10:35:41,WHC0684,PC-3207,Logon
{S6K0-Y0CA63NC-0158JJTU},01/02/2010 10:58:54,QRF0629,PC-7165,Logon
{A8L9-Y0UY45KT-5014ZGTS},01/02/2010 11:00:18,XUG0327,PC-8371,Logon
{S1X6-Y3WP27SP-7710JCMO},01/02/2010 11:40:36,QRF0629,PC-7165,Logoff
{B3N7-Q7LT68WQ-0074USAD},01/02/2010 11:46:47,RIB0011,PC-8308,Logon
{S3B4-M7OV98PQ-8987NEJP},01/02/2010 11:48:32,KAK0992,PC-7165,Logon
{L3I8-G1RC25NT-3444MVDV},01/02/2010 11:48:36,TGF0571,PC-2770,Logon
{I6G4-B2LH34CB-0351ULNX},01/02/2010 11:50:27,SPD0384,PC-4902,Logon
{G8C8-O8WA61EI-8425HPNO},01/02/2010 11:52:02,PHH0717,PC-8067,Logon
{A5B7-C7GM55PY-0899IBHP},01/02/2010 11:53:19,VXA0673,PC-1509,Logon
{C1M4-R2PZ48AV-9943YQYX},01/02/2010 11:53:36,KAK0992,PC-7165,Logoff
{U2A1-S1EV68YM-2791IIQV},01/02/2010 11:56:12,HCH0203,PC-7165,Logon
{O6T9-P0US06CM-4574QPKA},01/02/2010 11:56:52,BAK0530,PC-6188,Logon
{D4G0-Y3FD14FP-3691QHXD},01/02/2010 11:58:58,HCH0203,PC-7165,Logoff
{W5Q6-K1AL40WS-0975WOMH},01/02/2010 11:59:33,VAD0688,PC-7165,Logon
{E3B7-T7NS51OI-0737RFJH},01/02/2010 12:01:18,ERL0366,PC-0472,Logon
{F3Z9-U8VD48UK-3861LFEK},01/02/2010 12:01:22,VAD0688,PC-7165,Logoff
{G4E3-O0PX20OF-0954JCSI},01/02/2010 12:01:53,KJP0844,PC-7165,Logon
{Q0C3-K8HF76TL-4532BRHV},01/02/2010 12:06:42,RPH0848,PC-0130,Logon
{X6H8-J4FM62EP-9160ZKJV},01/02/2010 12:08:11,TST0116,PC-8948,Logon
{P0D7-H7XZ20AH-6547RYYD},01/02/2010 12:17:21,VAD0688,PC-0674,Logon
{W2F0-E8OO00TW-4474RHPK},01/02/2010 12:18:41,CSF0671,PC-1450,Logon
{Z0N9-X2NM61PG-8785FBCM},01/02/2010 12:19:05,CAO0899,PC-0563,Logon
{B2H9-Z0RQ84FX-0606QEFS},01/02/2010 12:21:34,RLP0021,PC-9377,Logon
{S4R0-T4KG50CV-7808OLXD},01/02/2010 12:25:23,KJP0844,PC-7165,Logoff
{Z8W4-M3FO81XH-8240INRI},01/02/2010 12:29:18,BLB0583,PC-3371,Logon
{N7U0-L9QL45BO-5427HQEK},01/02/2010 12:32:25,KGM0616,PC-3071,Logon
{L1M5-A4DV91NP-5985MFKU},01/02/2010 12:38:17,BRS0802,PC-7449,Logon
{F2D3-Z3ZS75QA-6626MEEH},01/02/2010 12:42:44,SDH0288,PC-5156,Logon
{G0R2-B8OY77TB-4355MOFD},01/02/2010 13:09:33,AYN0502,PC-9878,Logon
{W1W5-Y2PT47DH-4689JVGT},01/02/2010 13:12:01,ACC0950,PC-8672,Logon
{E2Y8-P2GI47DW-9433LTWO},01/02/2010 13:12:45,JZA0447,PC-9753,Logon
{F0R6-V9CQ01YM-6544ZBKN},01/02/2010 13:16:10,HCH0203,PC-2617,Logon
{X6I0-V9SU55VK-3548TUFO},01/02/2010 13:21:04,CTR0215,PC-2944,Logon
{F4B8-A1GG68ZV-3062HYYP},01/02/2010 13:23:56,CMD0693,PC-3107,Logon
{N3F5-V7NE16MF-9102GKOK},01/02/2010 13:25:29,KAK0992,PC-1037,Logon
{N3M6-N8FY27UV-7652VIBK},01/02/2010 13:27:14,KRH0812,PC-3186,Logon
{K6M9-O0SB96HA-6224SSFB},01/02/2010 13:27:29,BLW0787,PC-5896,Logon
{W2R0-X5BD27BU-8639QSBB},01/02/2010 13:31:46,IHS0045,PC-3653,Logon
{J9Q6-E2IB84SH-7085EGJR},01/02/2010 13:32:41,LAG0639,PC-1575,Logon
{L9H8-Y0LR63JY-8849XXVI},01/02/2010 13:47:25,KJC0931,PC-9490,Logon
{S7M2-S1LQ21XV-7986FESQ},01/02/2010 13:49:29,EPP0584,PC-4842,Logon
{Z0U0-G3WW49GZ-9434FMGW},01/02/2010 13:49:49,MCL0139,PC-5645,Logon
{J7X0-Z5KY53OV-5505FWND},01/02/2010 14:00:42,KPB0549,PC-7199,Logon
{N5Z7-H3YR86UE-1338FBHX},01/02/2010 14:04:32,ATV0292,PC-4773,Logon
{B1F3-N3CC92KZ-6674XTAW},01/02/2010 14:04:34,MTP0573,PC-8548,Logon
{Z5K9-L6AW10UB-8851KCMQ},01/02/2010 14:10:20,QRF0629,PC-7081,Logon
{J5M6-Y2SH85OP-3528KBQY},01/02/2010 14:14:03,FTT0044,PC-3732,Logon
{B6W0-N7HB63GN-0965ZORB},01/02/2010 14:14:35,KJP0844,PC-1188,Logon
{I4L0-V6JN71II-9936ZGIM},01/02/2010 14:25:01,MLO0553,PC-1386,Logon
{L6E7-Q3KJ18NS-6265NKZY},01/02/2010 14:29:38,MDS0121,PC-8374,Logon
{P5C5-Z9CD49UH-4336JSZN},01/02/2010 14:59:00,PHH0717,PC-8067,Logoff
{Y0O4-R3XK55MS-0464ZOSK},01/02/2010 15:07:00,NLR0174,PC-8272,Logoff
{W2B6-B0GF03MH-6966XPAT},01/02/2010 15:13:00,BRS0802,PC-7449,Logoff
{B3F1-Y8IB12LM-7877XCAZ},01/02/2010 15:14:00,MQF0815,PC-9876,Logoff
{D8S0-P5LT68JL-8357PKIO},01/02/2010 15:15:00,XUG0327,PC-8371,Logoff
{W7B5-J0NT07NN-1092FVWD},01/02/2010 15:19:00,KRH0812,PC-3186,Logoff
{P3K1-C2QJ43MU-0252JBON},01/02/2010 15:48:00,CSG0227,PC-6015,Logoff
{Y5H3-S0JM77NF-6770MAOQ},01/02/2010 15:50:00,CZB0191,PC-7236,Logoff
{F8L1-F1BX21GP-2928PJTC},01/02/2010 16:00:00,RKO0962,PC-4728,Logoff
{A7Y7-I0XO32HS-3963NVIL},01/02/2010 16:09:00,FTT0044,PC-3732,Logoff
{W8M6-N2IG66PP-8149CCCF},01/02/2010 16:25:00,HMW0274,PC-1078,Logoff
{L7P9-Q7MO59QC-4996CGRC},01/02/2010 16:26:00,KJP0844,PC-1188,Logoff
{B9W1-I7JW53JG-0000JMZC},01/02/2010 16:28:00,RMY0747,PC-4924,Logoff
{I6A2-T7KL16BE-5557PFNP},01/02/2010 16:30:00,RAS0839,PC-1633,Logoff
{E3Q6-K4XU52IK-6802EEEW},01/02/2010 16:31:00,RPH0848,PC-0130,Logoff
{P8T7-S5BU26PX-2425NMBW},01/02/2010 16:32:00,BLW0787,PC-5896,Logoff
{M6O8-W4AH94ZQ-0664CMHN},01/02/2010 16:37:00,VAD0688,PC-0674,Logoff
{Y0F6-A3OC50SC-3976ZJRC},01/02/2010 16:38:00,ACC0950,PC-8672,Logoff
{H8C4-X7MQ15QB-7361FQZN},01/02/2010 16:41:00,CMD0693,PC-3107,Logoff
{C8H0-J9EF06TR-1713LIOS},01/02/2010 16:41:00,DSL0441,PC-7252,Logoff
{U5Y5-C2RV03ZI-0532BFRT},01/02/2010 16:41:00,VLB0057,PC-7284,Logoff
{B4B3-C8RG29NU-9713ALKJ},01/02/2010 16:43:00,CSF0671,PC-1450,Logoff
{W5X4-V5FX92LP-4817VRED},01/02/2010 16:45:00,VXA0673,PC-1509,Logoff
{F1S5-V4YE05LG-2827EBZQ},01/02/2010 16:52:00,WHC0684,PC-3207,Logoff
{D5W9-K4KF70YJ-8417MNDO},01/02/2010 16:53:00,MTP0573,PC-8548,Logoff
{W0K7-S4SI52KJ-4860UHMA},01/02/2010 16:56:00,LAG0639,PC-1575,Logoff
{I9H4-V8LT55VJ-4996JOLA},01/02/2010 16:57:00,CAB0422,PC-1818,Logoff
{A5N7-M5ID13WT-5743IESC},01/02/2010 16:57:00,HCH0203,PC-2617,Logoff
{X9M9-L3IZ40MI-6489CWPR},01/02/2010 16:58:00,BLB0583,PC-3371,Logoff
{F2B4-Y7EJ70FW-7930XNEM},01/02/2010 17:00:00,BAK0530,PC-6188,Logoff
{D5F7-U0GS49DQ-7371TXJA},01/02/2010 17:03:00,EPP0584,PC-4842,Logoff
{O4K7-I8UE25HT-7054XZCU},01/02/2010 17:03:00,QRF0629,PC-7081,Logoff
{R7O8-T0HT30TO-2918KOEO},01/02/2010 17:03:00,SDH0288,PC-5156,Logoff
{L7S0-M3CY60PV-4045OGEM},01/02/2010 17:08:00,BGR0068,PC-8640,Logoff
{F0S6-V1IS20AW-5335BBMC},01/02/2010 17:08:00,MSC0284,PC-3814,Logoff
{C1D4-J8SW03HG-2931DKUH},01/02/2010 17:08:00,TGF0571,PC-2770,Logoff
{T5C7-S0UG80HS-2709FOFR},01/02/2010 17:09:00,ATV0292,PC-4773,Logoff
{S4T8-V4OW70EX-8314HBVM},01/02/2010 17:11:00,ALM0073,PC-2913,Logoff
{Q5D1-W8JB81QX-9416ISLT},01/02/2010 17:12:00,AMT0293,PC-1410,Logoff
{Y6G7-T1EX01MX-1037CNJP},01/02/2010 17:13:00,MDS0121,PC-8374,Logoff
{O4H8-A9VF82SS-4285KWXX},01/02/2010 17:15:00,MQM0127,PC-3361,Logoff
{H1V3-K6HP55YU-7254HHFO},01/02/2010 17:21:00,RIB0011,PC-8308,Logoff
{R4V1-K4RM13XN-7991XCPX},01/02/2010 17:25:00,TST0116,PC-8948,Logoff
{H2K0-V5GO65RL-9900ZBTA},01/02/2010 17:27:00,RLP0021,PC-9377,Logoff
{M3S4-P0GW03DR-7948CVGD},01/02/2010 17:40:00,ASR0889,PC-6390,Logoff
{Q1X8-F6VS96TS-9240VASK},01/02/2010 17:42:00,YXG0504,PC-4312,Logoff
{S4M2-T2VD62MA-7931LQGQ},01/02/2010 17:43:00,EBH0519,PC-9573,Logoff
{L2L7-Z8VS35ZD-2175WITQ},01/02/2010 17:44:00,KJC0931,PC-9490,Logoff
{W7K0-E3DL52YO-4292JRXG},01/02/2010 17:44:00,SAC0882,PC-8417,Logoff
{A8Q0-J1LE10GJ-7272DTDH},01/02/2010 17:45:00,LAD0514,PC-2567,Logoff
{Z7D1-D3HK04WL-4340HCZE},01/02/2010 17:45:00,TMW0915,PC-2925,Logoff
{Y4M3-J3HH71JQ-1944XBBM},01/02/2010 17:46:00,DAL0189,PC-6436,Logoff
{C4W5-S8IC57XX-6853XVTD},01/02/2010 17:51:00,CTR0215,PC-2944,Logoff
{S9L6-I5IG49WG-2730GNNA},01/02/2010 17:57:00,MCL0139,PC-5645,Logoff
{P6Z1-B3XZ44IE-9196RTMN},01/02/2010 17:58:00,SUV0051,PC-4725,Logoff
{E6Y9-H5NI70ZY-7506ZWGN},01/02/2010 18:08:00,TDF0088,PC-1151,Logoff
{J7P9-S6IP79SI-6004ACVF},01/02/2010 18:11:00,JBV0604,PC-3756,Logoff
{E7J6-E4RY83YS-1198SONC},01/02/2010 18:12:00,NUG0614,PC-9225,Logoff
{A8Q8-T2CW57TV-2631UDMS},01/02/2010 18:15:00,JKD0625,PC-1794,Logoff
{B0C3-G0QM69FJ-9839IWUX},01/02/2010 18:19:00,KGM0616,PC-3071,Logoff
{J2Q8-D2MH36UA-8921YRCF},01/02/2010 18:29:00,KAK0992,PC-1037,Logoff
{B8I1-Q3UV86LI-7932QQXW},01/02/2010 18:29:00,RNA0266,PC-2695,Logoff
{W3Y7-J1QF51EN-3598BXRY},01/02/2010 18:30:00,DIM0254,PC-6122,Logoff
{P1F3-J7YF62BS-9262YGNG},01/02/2010 18:37:00,RBS0466,PC-6902,Logoff
{O2M9-E4NQ74EN-8392VETO},01/02/2010 18:43:00,JZA0447,PC-9753,Logoff
{I4J6-W1FL26FU-7160RDLU},01/02/2010 18:51:00,XOH0359,PC-4096,Logoff
{C1O0-F9FM09CF-2679AJDY},01/02/2010 18:52:00,ABG0865,PC-0410,Logoff
{H1X9-L1QX78QC-5022DYTT},01/02/2010 18:56:00,ERL0366,PC-0472,Logoff
{H6K5-B0ID65AU-6287KSSZ},01/02/2010 18:56:00,PCM0369,PC-2094,Logoff
{W9M1-C8PA85OB-8899LAZZ},01/02/2010 18:57:00,WMH0866,PC-9974,Logoff
{U1C7-W7LT71PC-6824BJAG},01/02/2010 19:02:00,IHS0045,PC-3653,Logoff
{E2J2-N8SE98SS-6563VQNS},01/02/2010 19:15:00,AYN0502,PC-9878,Logoff
{U2L4-F0PI85RS-6208TYWH},01/02/2010 19:15:00,LMR0049,PC-3271,Logoff
{T2E6-O4MK90GN-9302SHTB},01/02/2010 19:27:00,MLO0553,PC-1386,Logoff
{M6Q0-P9UM72NT-1567SJTS},01/02/2010 19:27:00,YAP0560,PC-2685,Logoff
{B0Z8-V2NA54PY-5949TSXA},01/02/2010 19:36:00,GNG0386,PC-7336,Logoff
{X7P7-P7ED12CR-3478CEAR},01/02/2010 19:39:00,KPB0549,PC-7199,Logoff
{Q3B4-C9FK34AS-5347XKYT},01/02/2010 19:42:00,SPD0384,PC-4902,Logoff
{W5C2-C5VS62KR-9380TGEI},01/02/2010 19:43:00,FEJ0567,PC-2930,Logoff
{V2V0-G5OB18TE-5466KWSB},01/02/2010 19:44:00,CAO0899,PC-0563,Logoff
{W6N6-Q6EE14SJ-7972QVRQ},01/02/2010 21:59:23,IHS0045,PC-3653,Logon
{Q8P5-N9RC09BV-7956ZBLO},01/03/2010 03:27:43,IHS0045,PC-3653,Logoff
{O3C2-R1XD39WU-0178OLMN},01/03/2010 06:30:00,LAD0514,PC-2567,Logon
{D2P3-O0XI33OX-2682QJDM},01/03/2010 06:45:00,GDK0694,PC-6798,Logon
{S1D4-J7PL22EZ-8234OOFZ},01/03/2010 06:48:00,EBH0519,PC-9573,Logon
{D6N5-W3ER37PP-2677CKHW},01/03/2010 06:51:00,YXG0504,PC-4312,Logon
{D2P4-X8WE65ZO-6501REAI},01/03/2010 06:59:00,HAM0510,PC-2773,Logon
{D2L3-T8JQ80VK-5034CZXS},01/03/2010 07:02:00,THS0145,PC-6334,Logon
{H6K4-E1GR27MD-7643HMBT},01/03/2010 07:03:00,JED0704,PC-2020,Logon
{Z9G9-Q8FE32AJ-8738NOKS},01/03/2010 07:06:00,KGM0616,PC-3071,Logon
{R1D0-W6CQ53ZH-7762HYIU},01/03/2010 07:10:00,RLP0021,PC-9377,Logon
{Q2G6-A3GA60NP-4511VTIQ},01/03/2010 07:10:00,XUG0327,PC-8371,Logon
{F1G3-Q5MR94UX-4771QZOS},01/03/2010 07:11:00,NLR0174,PC-8272,Logon
{X9A5-M5XY82XP-5471MLHY},01/03/2010 07:13:00,PHH0717,PC-8067,Logon
{Y0Q5-G6AO38AA-9296KRBL},01/03/2010 07:15:00,RIB0011,PC-8308,Logon
{G0P0-G7ID01LE-2351TPFM},01/03/2010 07:18:00,JKD0625,PC-1794,Logon
{B7J4-R2IG41TQ-4219FPGS},01/03/2010 07:18:00,NUG0614,PC-9225,Logon
{B2H8-N7ZP82RX-3758USPW},01/03/2010 07:30:00,CMR0739,PC-3860,Logon
{T3N2-G5YB99ZR-0960UFBN},01/03/2010 07:31:00,PCM0369,PC-2094,Logon
{X4Q7-B3TE96FK-7732UPHV},01/03/2010 07:31:00,RMY0747,PC-4924,Logon
{B0K1-Z5ZL15NZ-1159ZXFT},01/03/2010 07:32:00,GNG0386,PC-7336,Logon
{X2Z8-P2GI39DI-8409IGMX},01/03/2010 07:32:00,IMB0459,PC-7098,Logon
{P1M4-P9DU04UZ-4324IEPV},01/03/2010 07:34:00,EDM0346,PC-0882,Logon
{Q6B6-B1BQ54JL-0545AHIR},01/03/2010 07:36:00,WSP0210,PC-0583,Logon
{J2S1-D6ZP05SO-9368KIYQ},01/03/2010 07:37:00,SUV0051,PC-4725,Logon
{H9Z3-N5AA08PI-2971QLOV},01/03/2010 07:38:00,VAD0688,PC-0674,Logon
{M9L7-L3BY93RW-0437DYNZ},01/03/2010 07:40:00,DIM0254,PC-6122,Logon
{T8T7-X4PY19ZU-9702FCGQ},01/03/2010 07:42:00,RBS0466,PC-6902,Logon
{O8R4-W4NV36HP-2535UYZS},01/03/2010 07:43:00,RHB0200,PC-6866,Logon
{E8N9-G5NA18RM-7444EYKZ},01/03/2010 07:44:00,SPD0384,PC-4902,Logon
{D8S9-R4PL32VA-4132DWQJ},01/03/2010 07:44:00,XOH0359,PC-4096,Logon
{O9Q8-U0EY89LX-5774EIQZ},01/03/2010 07:45:00,DSL0441,PC-7252,Logon
{W8O7-M8ZX00CJ-3169RYZN},01/03/2010 07:45:00,MTP0573,PC-8548,Logon
{Q1V6-U3AU58GV-4799IOXE},01/03/2010 07:45:00,TGF0571,PC-2770,Logon
{D7J5-P1XN88RN-9276TGFS},01/03/2010 07:46:00,ASJ0958,PC-1032,Logon
{O6R2-S4KP64IO-9680GCMM},01/03/2010 07:46:00,CSG0227,PC-6015,Logon
{Y7S1-A5CT73CP-3846ZYCF},01/03/2010 07:47:00,CMD0693,PC-3107,Logon
{U2Q4-B1HV45QH-0163DLMB},01/03/2010 07:48:00,ACC0950,PC-8672,Logon
{J3S3-T6IJ87IJ-0995LJQO},01/03/2010 07:49:00,IHS0045,PC-3653,Logon
{P2W6-S6AV46SQ-8076ZOTH},01/03/2010 07:49:00,VLB0057,PC-7284,Logon
{O4H0-I5ME14EZ-1418PKGA},01/03/2010 07:50:00,CAB0422,PC-1818,Logon
{V1D5-Q5MJ28LS-6285OHVN},01/03/2010 07:51:00,CSF0671,PC-1450,Logon
{D1R9-T8FY91IK-7005RGPS},01/03/2010 07:56:00,AXC0137,PC-9532,Logon
{U6I2-W2ED74QT-8056SIDJ},01/03/2010 07:59:00,ALM0073,PC-2913,Logon
{U4D9-X2YT28RM-8519WHPI},01/03/2010 08:00:00,BLB0583,PC-3371,Logon
{P8F8-J1DB05RG-2518CWYW},01/03/2010 08:00:00,EPP0584,PC-4842,Logon
{A6I9-B0HC75AW-9022SROU},01/03/2010 08:00:00,LMR0049,PC-3271,Logon
{G0K0-O4YN44GI-3629DAHJ},01/03/2010 08:01:00,BAK0530,PC-6188,Logon
{U6A7-N0GQ43SY-4887DKRN},01/03/2010 08:01:00,BGR0068,PC-8640,Logon
{P2X8-E9TO09ET-5861BFJC},01/03/2010 08:04:00,BRS0802,PC-7449,Logon
{H5T4-E5AQ17RE-8671WKPY},01/03/2010 08:10:00,RNA0266,PC-2695,Logon
{R6P2-M4WZ83ER-5315JWHJ},01/03/2010 08:14:00,KAK0992,PC-1037,Logon
{T9L2-N3RB95AY-9591DIEA},01/03/2010 08:15:00,YAP0560,PC-2685,Logon
{L2A3-O1VB75UM-2235RPQO},01/03/2010 08:26:00,KJP0844,PC-1188,Logon
